Count,Message,Traceback,Nodes
16547,timed out,"  File ""/usr/local/lib/python3.10/dist-packages/locust/user/task.py"", line 342, in run
    self.execute_next_task()
  File ""/usr/local/lib/python3.10/dist-packages/locust/user/task.py"", line 375, in execute_next_task
    self.execute_task(self._task_queue.pop(0))
  File ""/usr/local/lib/python3.10/dist-packages/locust/user/task.py"", line 489, in execute_task
    task(self.user).run()
  File ""/usr/local/lib/python3.10/dist-packages/locust/user/task.py"", line 327, in run
    self.on_start()
  File ""/app/locustfile.py"", line 142, in on_start
    self.client.connect(host=self.broker['host'],
  File ""/usr/local/lib/python3.10/dist-packages/paho/mqtt/client.py"", line 1435, in connect
    return self.reconnect()
  File ""/usr/local/lib/python3.10/dist-packages/paho/mqtt/client.py"", line 1598, in reconnect
    self._sock = self._create_socket()
  File ""/usr/local/lib/python3.10/dist-packages/paho/mqtt/client.py"", line 4609, in _create_socket
    sock = self._create_socket_connection()
  File ""/usr/local/lib/python3.10/dist-packages/paho/mqtt/client.py"", line 4640, in _create_socket_connection
    return socket.create_connection(addr, timeout=self._connect_timeout, source_address=source)
  File ""/usr/local/lib/python3.10/dist-packages/gevent/socket.py"", line 115, in create_connection
    sock.connect(sa)
  File ""/usr/local/lib/python3.10/dist-packages/gevent/_socketcommon.py"", line 590, in connect
    self._internal_connect(address)
  File ""/usr/local/lib/python3.10/dist-packages/gevent/_socketcommon.py"", line 640, in _internal_connect
    self._wait(self._write_event)
  File ""src/gevent/_hub_primitives.py"", line 317, in gevent._gevent_c_hub_primitives.wait_on_socket
  File ""src/gevent/_hub_primitives.py"", line 322, in gevent._gevent_c_hub_primitives.wait_on_socket
  File ""src/gevent/_hub_primitives.py"", line 313, in gevent._gevent_c_hub_primitives._primitive_wait
  File ""src/gevent/_hub_primitives.py"", line 314, in gevent._gevent_c_hub_primitives._primitive_wait
  File ""src/gevent/_hub_primitives.py"", line 46, in gevent._gevent_c_hub_primitives.WaitOperationsGreenlet.wait
  File ""src/gevent/_hub_primitives.py"", line 46, in gevent._gevent_c_hub_primitives.WaitOperationsGreenlet.wait
  File ""src/gevent/_hub_primitives.py"", line 55, in gevent._gevent_c_hub_primitives.WaitOperationsGreenlet.wait
  File ""src/gevent/_waiter.py"", line 154, in gevent._gevent_c_waiter.Waiter.get
  File ""src/gevent/_greenlet_primitives.py"", line 61, in gevent._gevent_c_greenlet_primitives.SwitchOutGreenletWithLoop.switch
  File ""src/gevent/_greenlet_primitives.py"", line 61, in gevent._gevent_c_greenlet_primitives.SwitchOutGreenletWithLoop.switch
  File ""src/gevent/_greenlet_primitives.py"", line 65, in gevent._gevent_c_greenlet_primitives.SwitchOutGreenletWithLoop.switch
  File ""src/gevent/_gevent_c_greenlet_primitives.pxd"", line 35, in gevent._gevent_c_greenlet_primitives._greenlet_switch
",local
27299,timed out,"  File ""/usr/local/lib/python3.10/dist-packages/locust/user/task.py"", line 342, in run
    self.execute_next_task()
  File ""/usr/local/lib/python3.10/dist-packages/locust/user/task.py"", line 375, in execute_next_task
    self.execute_task(self._task_queue.pop(0))
  File ""/usr/local/lib/python3.10/dist-packages/locust/user/task.py"", line 387, in execute_task
    task(self)
  File ""/app/locustfile.py"", line 148, in task_pub
    self.client.reconnect()
  File ""/usr/local/lib/python3.10/dist-packages/paho/mqtt/client.py"", line 1598, in reconnect
    self._sock = self._create_socket()
  File ""/usr/local/lib/python3.10/dist-packages/paho/mqtt/client.py"", line 4609, in _create_socket
    sock = self._create_socket_connection()
  File ""/usr/local/lib/python3.10/dist-packages/paho/mqtt/client.py"", line 4640, in _create_socket_connection
    return socket.create_connection(addr, timeout=self._connect_timeout, source_address=source)
  File ""/usr/local/lib/python3.10/dist-packages/gevent/socket.py"", line 115, in create_connection
    sock.connect(sa)
  File ""/usr/local/lib/python3.10/dist-packages/gevent/_socketcommon.py"", line 590, in connect
    self._internal_connect(address)
  File ""/usr/local/lib/python3.10/dist-packages/gevent/_socketcommon.py"", line 640, in _internal_connect
    self._wait(self._write_event)
  File ""src/gevent/_hub_primitives.py"", line 317, in gevent._gevent_c_hub_primitives.wait_on_socket
  File ""src/gevent/_hub_primitives.py"", line 322, in gevent._gevent_c_hub_primitives.wait_on_socket
  File ""src/gevent/_hub_primitives.py"", line 313, in gevent._gevent_c_hub_primitives._primitive_wait
  File ""src/gevent/_hub_primitives.py"", line 314, in gevent._gevent_c_hub_primitives._primitive_wait
  File ""src/gevent/_hub_primitives.py"", line 46, in gevent._gevent_c_hub_primitives.WaitOperationsGreenlet.wait
  File ""src/gevent/_hub_primitives.py"", line 46, in gevent._gevent_c_hub_primitives.WaitOperationsGreenlet.wait
  File ""src/gevent/_hub_primitives.py"", line 55, in gevent._gevent_c_hub_primitives.WaitOperationsGreenlet.wait
  File ""src/gevent/_waiter.py"", line 154, in gevent._gevent_c_waiter.Waiter.get
  File ""src/gevent/_greenlet_primitives.py"", line 61, in gevent._gevent_c_greenlet_primitives.SwitchOutGreenletWithLoop.switch
  File ""src/gevent/_greenlet_primitives.py"", line 61, in gevent._gevent_c_greenlet_primitives.SwitchOutGreenletWithLoop.switch
  File ""src/gevent/_greenlet_primitives.py"", line 65, in gevent._gevent_c_greenlet_primitives.SwitchOutGreenletWithLoop.switch
  File ""src/gevent/_gevent_c_greenlet_primitives.pxd"", line 35, in gevent._gevent_c_greenlet_primitives._greenlet_switch
",local
